X	Y	P20_001	P20_002	P20_003	P20_004	P20_005	P20_006	P20_007	P20_008	P20_009	P20_010	P20_011	P20_012	レベル	備考	緯度	経度	NO
139.739538	35.686898	13101	いきいきプラザ一番町	東京都千代田区一番町12-2	指定避難所、二次避難所	-1	-1	0	0	0	0	0	1	1		35.686898	139.739538	1
139.760433	35.697347	13101	お茶の水小学校	東京都千代田区猿楽町1-1-1	指定避難所、地区救援センター	-1	-1	0	0	0	0	0	1	1		35.697347	139.760433	2
139.778599	35.699319	13101	ちよだパークサイドプラザ	東京都千代田区神田和泉町1	指定避難所、地区救援センター	-1	-1	0	0	0	0	0	1	3		35.699319	139.778599	3
139.777894	35.694467	13101	岩本町ほほえみプラザ	東京都千代田区岩本町2-15-3	指定避難所	-1	-1	0	0	0	0	0	1	3		35.694467	139.777894	4
139.773094	35.691698	13101	旧今川中学校	東京都千代田区鍛冶町2-4-2	指定避難所	-1	-1	0	0	0	0	0	1	3		35.691698	139.773094	5
139.770683	35.70421	13101	旧練成中学校	東京都千代田区外神田6-11-14	指定避難所	-1	-1	0	0	0	0	0	1	3		35.70421	139.770683	6
139.740546	35.690291	13101	九段小学校	東京都千代田区三番町16	指定避難所	-1	-1	0	0	0	0	0	1	1		35.690291	139.740546	7
139.752106	35.695169	13101	九段生涯学習館	東京都千代田区九段南1-5-10	指定避難所	-1	-1	0	0	0	0	0	1	1		35.695169	139.752106	8
139.7464583	35.69650276	13101	九段中等教育学校	東京都千代田区富士見1-10-14	指定避難所	-1	-1	0	0	0	0	0	1	4		35.69650276	139.7464583	9
139.767556	35.68917	13101	区立スポーツセンター	東京都千代田区内神田2-1-8	指定避難所	-1	-1	0	0	0	0	0	1	1		35.68917	139.767556	10
139.756516	35.697124	13101	高齢者センター	東京都千代田区神田神保町2-20	指定避難所、二次避難所	-1	-1	0	0	0	0	0	1	1		35.697124	139.756516	11
139.739824	35.685653	13101	麹町小学校	東京都千代田区麹町2-8	指定避難所、地区救援センター	-1	-1	0	0	0	0	0	1	1		35.685653	139.739824	12
139.738769	35.680598	13101	麹町中学校	東京都千代田区平河町2-5-1	指定避難所	-1	-1	0	0	0	0	0	1	1		35.680598	139.738769	13
139.769904	35.701152	13101	昌平童夢館	東京都千代田区外神田3-4-7	指定避難所、地区救援センター	-1	-1	0	0	0	0	0	1	3		35.701152	139.769904	14
139.76846	35.693486	13101	神田さくら館	東京都千代田区神田司町2-16	指定避難所、地区救援センター	-1	-1	0	0	0	0	0	1	3		35.693486	139.76846	15
139.756822	35.694708	13101	神田一橋中学校	東京都千代田区一ツ橋2-6-14	指定避難所	-1	-1	0	0	0	0	0	1	1		35.694708	139.756822	16
139.781071	35.69457	13101	都立一橋高校	東京都千代田区東神田1-12-13	指定避難所	-1	-1	0	0	0	0	0	1	1		35.69457	139.781071	17
139.747406	35.696096	13101	都立九段高校	東京都千代田区九段北2-2-1	指定避難所	-1	-1	0	0	0	0	0	1	1		35.696096	139.747406	18
139.739435	35.676043	13101	都立日比谷高校	東京都千代田区永田町2-16-1	指定避難所	-1	-1	0	0	0	0	0	1	1		35.676043	139.739435	19
139.734074	35.688069	13101	番町小学校	東京都千代田区六番町8	指定避難所	-1	-1	0	0	0	0	0	1	1		35.688069	139.734074	20
139.746128	35.697402	13101	富士見小学校	東京都千代田区富士見1-1-6	指定避難所、地区救援センター	-1	-1	0	0	0	0	0	1	1		35.697402	139.746128	21
139.7749435	35.6518051	13102	ほっとプラザはるみ	東京都中央区晴海5-2-3	拠点避難所	285	-1	0	0	0	0	0	1	3		35.6518051	139.7749436	22
139.7766994	35.66942099	13102	介護老人保健施設「リハポート明石」	東京都中央区明石町1-6	広域福祉避難所	145	-1	0	0	0	0	0	1	3		35.66942099	139.7766994	23
139.784559	35.688958	13102	久松小学校	東京都中央区久松町7-2	避難所	1560	-1	0	0	0	0	0	1	1		35.688958	139.784559	24
139.775571	35.67499636	13102	京華スクエア（１、２階）	東京都中央区八丁堀3-17-9	避難所	981	-1	0	0	0	0	0	1	3		35.67499636	139.775571	25
139.771717	35.673246	13102	京橋プラザ	東京都中央区銀座1-25-3	避難所	1008	-1	0	0	0	0	0	1	1		35.673246	139.771717	26
139.771405	35.667989	13102	京橋築地小学校	東京都中央区築地2-13-1	避難所	1720	-1	0	0	0	0	0	1	1		35.667989	139.771405	27
139.7769053	35.66652655	13102	教育センター	東京都中央区明石町12-1	広域福祉避難所	94	-1	0	0	0	0	0	1	3		35.66652655	139.7769053	28
139.764934	35.665628	13102	銀座中学校	東京都中央区銀座8-19-15	避難所	2090	-1	0	0	0	0	0	1	1		35.665628	139.764934	29
139.782293	35.66199	13102	月島児童館	東京都中央区月島4-1-1	拠点避難所	918	-1	0	0	0	0	0	1	1		35.66199	139.782293	30
139.782189	35.661999	13102	月島社会教育会館	東京都中央区月島4-1-1	地域福祉避難所	140	-1	0	0	0	0	0	1	1		35.661999	139.782189	31
139.785619	35.658869	13102	月島社会教育会館晴海分館「アートはるみ」	東京都中央区晴海1-4-1	地域福祉避難所	120	-1	0	0	0	0	0	1	1		35.658869	139.785619	32
139.780266	35.660851	13102	月島第一小学校	東京都中央区月島4-15-1	避難所	1420	-1	0	0	0	0	0	1	1		35.660851	139.780266	33
139.785626	35.658879	13102	月島第三小学校	東京都中央区晴海1-4-1	避難所	1840	-1	0	0	0	0	0	1	1		35.658879	139.785626	34
139.775822	35.660212	13102	月島第二小学校	東京都中央区勝どき1-12-2	避難所	1620	-1	0	0	0	0	0	1	1		35.660212	139.775822	35
139.77671	35.679738	13102	阪本小学校	東京都中央区兜町15-18	避難所	990	-1	0	0	0	0	0	1	1		35.679738	139.77671	36
139.7769939	35.69087244	13102	十思スクエア	東京都中央区小伝馬町5-1	避難所	1660	-1	0	0	0	0	0	1	3		35.69087244	139.7769939	37
139.769211	35.679349	13102	城東小学校	東京都中央区八重洲2-2-2	避難所	940	-1	0	0	0	0	0	1	1		35.679349	139.769211	38
139.770627	35.688459	13102	常盤小学校	東京都中央区本石町4-4-26	避難所	890	-1	0	0	0	0	0	1	1		35.688459	139.770627	39
139.783724	35.676414	13102	新川区民館	東京都中央区新川1-26-1	拠点避難所	366	-1	0	0	0	0	0	1	1		35.676414	139.783724	40
139.784849	35.659546	13102	晴海中学校	東京都中央区晴海1-5-3	避難所	1850	-1	0	0	0	0	0	1	1		35.659546	139.784849	41
139.761767	35.672433	13102	泰明小学校	東京都中央区銀座5-1-13	避難所	930	-1	0	0	0	0	0	1	1		35.672433	139.761767	42
139.768151	35.666379	13102	築地社会教育会館	東京都中央区築地4-15-1	地域福祉避難所	310	-1	0	0	0	0	0	1	1		35.666379	139.768151	44
